<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20150424,000000,0.95423,0.95742,0.95105,0.95348,44555
20150427,000000,0.95387,0.95839,0.94925,0.95496,48229
20150428,000000,0.95459,0.95984,0.95037,0.95576,43640
20150429,000000,0.95484,0.95725,0.93407,0.93926,53155
20150430,000000,0.93929,0.94471,0.93080,0.93255,51387
20150501,000000,0.93206,0.93523,0.92774,0.93254,33153
20150504,000000,0.93337,0.93839,0.93133,0.93334,38548
20150505,000000,0.93336,0.94129,0.92385,0.92642,56953
20150506,000000,0.92632,0.92807,0.91136,0.91625,63913
20150507,000000,0.91552,0.92266,0.90723,0.92129,62510
20150508,000000,0.92102,0.93232,0.91913,0.93171,64489
20150511,000000,0.93157,0.93540,0.92967,0.93398,56620
20150512,000000,0.93367,0.93585,0.92111,0.92904,61589
20150513,000000,0.92889,0.92949,0.91583,0.91665,54042
20150514,000000,0.91642,0.91770,0.90783,0.91178,62366
20150515,000000,0.91168,0.92548,0.91146,0.91546,56281
20150518,000000,0.91445,0.92644,0.91442,0.92612,48250
20150519,000000,0.92616,0.93837,0.92458,0.93660,60334
20150520,000000,0.93626,0.94050,0.93363,0.93693,77155
20150521,000000,0.93690,0.93818,0.93062,0.93668,81177
20150522,000000,0.93636,0.94566,0.92868,0.94298,102248
20150525,000000,0.94216,0.94568,0.94048,0.94495,111945
20150526,000000,0.94497,0.95362,0.94463,0.95323,167508
20150527,000000,0.95317,0.95428,0.94666,0.94934,165471
20150528,000000,0.94941,0.95126,0.94177,0.94348,194557
20150529,000000,0.94338,0.94788,0.93481,0.94029,175452
20150601,000000,0.93877,0.94838,0.93828,0.94584,171341
20150602,000000,0.94584,0.94695,0.93087,0.93285,278352
20150603,000000,0.93283,0.94226,0.93027,0.93359,180125
20150604,000000,0.93348,0.93710,0.92776,0.93352,156012
20150605,000000,0.93350,0.95020,0.92982,0.93905,163450
20150608,000000,0.93906,0.94292,0.92558,0.92728,125679
20150609,000000,0.92719,0.93319,0.92460,0.93092,127390
20150610,000000,0.93092,0.93241,0.92328,0.93131,137828
20150611,000000,0.93122,0.94075,0.92967,0.93308,83183
20150612,000000,0.93308,0.93900,0.92406,0.92840,85668
20150615,000000,0.92932,0.93839,0.92745,0.92930,65681
20150616,000000,0.92930,0.93346,0.92721,0.93212,49518
20150617,000000,0.93212,0.93253,0.91968,0.92184,66299
20150618,000000,0.92161,0.92461,0.91506,0.92119,77554
20150619,000000,0.92110,0.92491,0.91628,0.91810,54929
20150622,000000,0.91560,0.92252,0.91560,0.92138,64810
20150623,000000,0.92123,0.93873,0.92089,0.93355,67833
20150624,000000,0.93348,0.93692,0.92807,0.93350,66516
20150625,000000,0.93329,0.94156,0.93248,0.93642,58255
20150626,000000,0.93622,0.93734,0.92999,0.93341,57014
20150629,000000,0.93725,0.94276,0.92440,0.92472,96580
20150630,000000,0.92450,0.93810,0.92450,0.93514,77794
20150701,000000,0.93517,0.94896,0.93416,0.94823,65050
20150702,000000,0.94823,0.95034,0.94184,0.94343,87090
