<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190801,000000,1412.57,1555.02,1400.52,1520.29,5689662
20190901,000000,1526.15,1557.00,1464.46,1472.51,5056405
20191001,000000,1471.83,1519.42,1459.05,1512.70,5168898
20191101,000000,1512.60,1515.95,1445.59,1463.93,3789702
20191201,000000,1464.09,1525.28,1453.95,1517.19,2856673
20200101,000000,1518.15,1611.34,1517.20,1588.88,4140219
20200201,000000,1593.34,1689.28,1547.44,1585.99,4635935
20200301,000000,1591.77,1703.24,1451.18,1576.36,5074467
20200401,000000,1574.50,1747.70,1567.08,1686.72,3212650
20200501,000000,1685.06,1765.10,1670.37,1728.87,3221874
20200601,000000,1735.99,1785.88,1670.65,1780.39,3325365
20200701,000000,1781.59,1983.11,1757.46,1975.12,4231650
20200801,000000,1978.53,2074.93,1862.42,1967.03,5114433
20200901,000000,1967.01,1992.28,1848.76,1885.41,4483918
20201001,000000,1885.28,1933.15,1859.91,1878.83,3648318
20201101,000000,1877.18,1965.46,1764.30,1776.74,3645677
20201201,000000,1777.05,1906.66,1775.65,1897.88,3045459
20210101,000000,1904.46,1959.29,1803.14,1848.22,3271061
20210201,000000,1863.44,1871.68,1717.16,1734.35,4685015
20210301,000000,1733.75,1759.73,1676.78,1707.38,5447002
20210401,000000,1707.48,1797.82,1705.69,1768.50,4085178
20210501,000000,1768.02,1912.70,1765.99,1906.57,4625643
20210601,000000,1907.44,1916.51,1750.59,1770.02,4314363
20210701,000000,1769.88,1818.32,1765.61,1799.25,1067295
