<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20141005,000000,1191.48,1233.34,1182.90,1222.95,310955
20141012,000000,1225.57,1249.62,1221.79,1237.97,384774
20141019,000000,1239.00,1255.16,1226.30,1230.81,288042
20141026,000000,1230.08,1235.52,1161.13,1172.60,323733
20141102,000000,1170.80,1178.66,1131.42,1177.85,360751
20141109,000000,1177.49,1193.56,1146.07,1188.54,369325
20141116,000000,1186.69,1207.76,1175.07,1201.30,407251
20141123,000000,1200.70,1204.19,1165.19,1166.96,273538
20141130,000000,1159.63,1220.93,1141.70,1192.00,402006
20141207,000000,1190.83,1238.21,1187.08,1222.37,469237
20141214,000000,1221.95,1224.10,1183.09,1195.49,399860
20141221,000000,1195.31,1203.21,1170.50,1195.77,98854
20141228,000000,1194.07,1210.58,1167.30,1188.45,134262
20150104,000000,1187.43,1223.85,1178.03,1223.03,232262
20150111,000000,1222.91,1282.03,1217.39,1280.08,278813
20150118,000000,1280.25,1307.30,1271.89,1294.10,424705
20150125,000000,1292.99,1299.00,1252.14,1283.15,426965
20150201,000000,1282.26,1285.55,1228.31,1233.55,438448
20150208,000000,1236.04,1245.67,1216.26,1229.46,385214
20150215,000000,1227.56,1236.42,1197.44,1201.48,362886
20150222,000000,1203.31,1219.78,1190.14,1212.83,367837
20150301,000000,1213.15,1223.06,1163.55,1167.13,365890
20150308,000000,1169.96,1175.16,1147.38,1158.20,388122
20150315,000000,1158.46,1187.90,1142.52,1182.41,397499
20150322,000000,1183.47,1219.71,1179.28,1198.54,391794
20150329,000000,1198.57,1208.53,1178.41,1202.64,299464
20150405,000000,1213.43,1224.19,1192.62,1207.51,348869
20150412,000000,1206.75,1209.47,1183.91,1204.15,392963
20150419,000000,1204.44,1209.11,1175.19,1179.21,352787
20150426,000000,1179.72,1215.07,1170.14,1178.37,355079
20150503,000000,1177.36,1199.74,1177.36,1188.43,436831
20150510,000000,1189.39,1227.12,1178.84,1223.88,530366
20150517,000000,1223.95,1232.35,1201.53,1206.28,568886
20150524,000000,1205.46,1208.65,1180.37,1190.38,553818
20150531,000000,1189.47,1204.22,1162.70,1171.57,990282
20150607,000000,1170.59,1192.29,1169.09,1181.46,779032
20150614,000000,1180.72,1205.74,1172.76,1200.19,533439
20150621,000000,1199.78,1201.03,1168.34,1175.25,527362
20150628,000000,1184.30,1188.13,1156.91,1168.61,588205
20150705,000000,1174.66,1174.92,1147.18,1163.59,658128
20150712,000000,1163.23,1164.92,1131.03,1134.29,495690
20150719,000000,1133.60,1133.60,1077.25,1099.06,661230
20150726,000000,1099.32,1105.00,1080.01,1095.49,626379
20150802,000000,1095.78,1099.53,1080.94,1094.12,576644
20150809,000000,1094.55,1126.68,1089.63,1114.97,690356
20150816,000000,1114.03,1168.27,1109.60,1160.55,649221
20150823,000000,1160.64,1170.12,1117.73,1133.99,912184
20150830,000000,1133.27,1147.87,1116.66,1122.26,515687
20150906,000000,1123.32,1126.77,1098.73,1107.64,482228
20150913,000000,1107.79,1141.73,1102.52,1139.09,479198
20150920,000000,1139.08,1156.65,1121.32,1145.65,467101
20150927,000000,1145.17,1148.23,1104.63,1138.72,485422
20151004,000000,1137.42,1159.61,1130.15,1156.65,394915
20151011,000000,1155.12,1191.54,1151.77,1177.29,424122
20151018,000000,1176.74,1180.83,1158.94,1164.37,395630
20151025,000000,1163.52,1182.95,1139.15,1141.98,366440
20151101,000000,1141.64,1142.98,1085.43,1088.76,338683
20151108,000000,1089.85,1095.79,1074.16,1083.76,509457
20151115,000000,1089.49,1098.25,1064.37,1078.15,591815
20151122,000000,1076.89,1081.26,1052.78,1057.45,451712
20151129,000000,1057.70,1088.88,1046.36,1086.85,610526
20151206,000000,1085.97,1086.68,1062.44,1074.87,586311
20151213,000000,1073.31,1078.34,1047.70,1065.98,294112
20151220,000000,1065.74,1081.75,1063.88,1076.72,141388
20151227,000000,1075.21,1076.91,1057.37,1062.09,129411
20160103,000000,1062.36,1113.16,1061.84,1104.02,289894
20160110,000000,1103.91,1108.58,1071.44,1088.83,280924
20160117,000000,1088.79,1109.65,1082.60,1097.86,270803
20160124,000000,1097.53,1128.17,1097.28,1118.13,248643
20160131,000000,1117.40,1174.70,1115.43,1173.38,295189
20160207,000000,1172.79,1263.39,1164.23,1238.24,479423
20160214,000000,1235.60,1240.02,1190.94,1227.43,493224
20160221,000000,1225.37,1253.32,1201.94,1223.54,612601
20160228,000000,1222.32,1279.82,1215.78,1258.91,598202
20160306,000000,1259.60,1283.29,1236.86,1249.40,585722
20160313,000000,1250.98,1270.99,1225.70,1255.30,446614
20160320,000000,1254.69,1260.25,1212.15,1216.99,332128
20160327,000000,1215.69,1244.24,1207.96,1222.37,480768
20160403,000000,1221.03,1243.34,1214.69,1240.61,624129
20160410,000000,1239.55,1262.76,1223.98,1233.90,519699
20160417,000000,1234.87,1270.37,1227.42,1232.91,479664
20160424,000000,1232.76,1296.73,1230.10,1293.78,406127
20160501,000000,1291.03,1303.79,1268.88,1288.98,496219
20160508,000000,1284.89,1287.59,1256.85,1272.89,546324
20160515,000000,1271.60,1288.77,1243.88,1252.17,675738
20160522,000000,1250.74,1256.13,1206.80,1212.78,574494
20160529,000000,1212.79,1244.78,1199.70,1244.28,590585
20160605,000000,1242.58,1278.22,1234.83,1273.70,519872
20160612,000000,1275.68,1315.69,1272.47,1298.82,702776
20160619,000000,1288.25,1358.40,1249.82,1315.28,572037
20160626,000000,1324.00,1344.60,1305.53,1341.56,651586
20160703,000000,1341.95,1375.21,1334.69,1366.15,618020
20160710,000000,1367.21,1375.12,1320.12,1337.24,707298
20160717,000000,1331.97,1338.47,1310.93,1322.21,580340
20160724,000000,1322.46,1355.07,1312.15,1350.73,534990
20160731,000000,1348.12,1367.32,1334.74,1335.43,513572
20160807,000000,1335.01,1357.29,1330.03,1335.91,431549
20160814,000000,1338.15,1358.09,1335.83,1341.66,479705
20160821,000000,1340.64,1344.81,1318.09,1321.22,510090
20160828,000000,1320.62,1329.99,1302.41,1324.81,510538
20160904,000000,1323.81,1352.63,1321.82,1328.03,471475
20160911,000000,1327.64,1332.05,1306.15,1310.26,557492
20160918,000000,1309.84,1343.70,1307.88,1337.54,463153
20160925,000000,1337.06,1342.07,1313.20,1315.86,476166
20161002,000000,1318.23,1319.64,1241.45,1256.54,533928
20161009,000000,1256.62,1264.98,1246.14,1250.89,433190
20161016,000000,1251.32,1274.52,1250.13,1265.83,368123
20161023,000000,1265.54,1284.22,1260.34,1275.14,452018
20161030,000000,1277.36,1308.06,1271.20,1304.19,544221
20161106,000000,1292.87,1337.38,1219.13,1226.76,882087
20161113,000000,1229.13,1233.11,1202.85,1207.71,741514
20161120,000000,1207.60,1221.06,1170.94,1183.72,565936
20161127,000000,1184.70,1197.62,1160.65,1176.97,660088
