<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140331,000000,1293.44,1298.51,1282.39,1283.90,62482
20140401,000000,1284.51,1287.96,1277.65,1278.82,78543
20140402,000000,1279.10,1294.47,1278.54,1289.75,97364
20140403,000000,1289.69,1293.87,1281.55,1286.50,96147
20140404,000000,1286.32,1306.70,1284.17,1302.66,99612
20140407,000000,1303.65,1304.11,1295.59,1297.20,60695
20140408,000000,1295.79,1314.33,1295.79,1308.48,56418
20140409,000000,1308.14,1315.02,1300.83,1311.65,65303
20140410,000000,1311.43,1324.46,1310.74,1318.79,70478
20140411,000000,1317.73,1323.83,1314.15,1317.39,62457
20140414,000000,1320.24,1331.08,1318.70,1327.78,61589
20140415,000000,1326.67,1328.22,1284.65,1302.21,77608
20140416,000000,1302.61,1307.04,1293.45,1302.33,65209
20140417,000000,1301.51,1304.09,1293.12,1294.93,58515
20140421,000000,1294.40,1301.56,1281.87,1289.62,53406
20140422,000000,1289.87,1292.80,1277.46,1283.58,57268
20140423,000000,1283.86,1288.96,1280.83,1283.64,56193
20140424,000000,1282.76,1298.67,1268.45,1293.12,73988
20140425,000000,1293.76,1305.04,1290.35,1302.12,61578
20140428,000000,1302.92,1306.44,1291.94,1296.28,60104
20140429,000000,1295.59,1301.32,1286.24,1295.74,54934
20140430,000000,1295.31,1298.11,1284.92,1291.41,64893
20140501,000000,1291.37,1292.85,1277.25,1284.15,51276
20140502,000000,1284.68,1304.61,1273.24,1298.89,64286
20140505,000000,1300.15,1315.58,1299.41,1310.11,58529
20140506,000000,1309.50,1313.98,1304.31,1307.78,61118
20140507,000000,1307.58,1314.42,1286.57,1289.76,73928
20140508,000000,1289.66,1295.31,1284.95,1289.30,71575
20140509,000000,1289.31,1294.32,1285.45,1287.82,60891
20140512,000000,1289.54,1303.76,1277.62,1295.72,70945
20140513,000000,1295.64,1298.72,1289.01,1293.48,69774
20140514,000000,1293.24,1308.97,1291.54,1305.80,67827
20140515,000000,1304.82,1307.07,1290.85,1295.96,71503
20140516,000000,1295.54,1298.25,1287.73,1292.49,62281
20140519,000000,1292.64,1305.38,1289.45,1292.89,62469
20140520,000000,1292.60,1296.83,1285.87,1294.01,71355
20140521,000000,1293.11,1296.27,1283.28,1291.83,66330
20140522,000000,1291.86,1303.64,1290.01,1293.92,63946
20140523,000000,1293.82,1295.44,1286.63,1292.35,57125
20140526,000000,1292.44,1294.11,1290.84,1292.55,27637
20140527,000000,1292.16,1293.36,1264.32,1264.67,68663
20140528,000000,1263.77,1267.16,1255.90,1257.92,62300
20140529,000000,1258.39,1260.48,1251.45,1255.47,64588
20140530,000000,1256.75,1260.36,1242.19,1249.48,62254
20140602,000000,1249.43,1250.75,1240.98,1243.65,53844
20140603,000000,1243.11,1247.63,1240.60,1244.78,56374
20140604,000000,1243.89,1248.99,1242.81,1243.70,53401
20140605,000000,1243.74,1257.62,1241.03,1253.41,62687
20140606,000000,1252.69,1257.76,1245.87,1253.18,54687
20140609,000000,1252.69,1256.95,1251.52,1252.01,53592
20140610,000000,1251.72,1263.59,1250.24,1259.63,85849
20140611,000000,1259.86,1265.24,1257.78,1260.83,80999
20140612,000000,1260.82,1274.79,1259.85,1273.00,113299
20140613,000000,1272.31,1277.86,1270.71,1276.69,104547
20140616,000000,1275.96,1284.84,1270.49,1271.68,106145
20140617,000000,1271.51,1273.20,1258.61,1270.48,102624
20140618,000000,1271.62,1278.45,1266.24,1277.50,102384
20140619,000000,1277.53,1321.46,1275.93,1320.07,162750
20140620,000000,1319.90,1321.87,1306.41,1314.66,144645
20140623,000000,1314.31,1318.43,1309.92,1317.24,59883
20140624,000000,1317.29,1325.85,1313.76,1318.10,60262
20140625,000000,1318.16,1324.78,1305.90,1319.04,61591
20140626,000000,1315.51,1319.72,1306.21,1316.43,57321
20140627,000000,1316.73,1322.21,1312.58,1316.03,56308
20140630,000000,1316.07,1329.35,1310.28,1327.14,55509
20140701,000000,1327.02,1333.48,1323.72,1326.18,52207
20140702,000000,1325.64,1332.00,1321.28,1326.57,49091
20140703,000000,1327.60,1327.60,1309.15,1319.30,54421
20140704,000000,1319.99,1323.16,1318.58,1320.28,24098
20140707,000000,1320.43,1320.70,1311.39,1319.65,50392
20140708,000000,1319.85,1324.76,1313.42,1319.01,53700
20140709,000000,1318.57,1332.21,1317.73,1327.62,53471
20140710,000000,1323.83,1345.28,1323.83,1335.50,61819
20140711,000000,1334.89,1339.16,1333.63,1338.56,44042
20140714,000000,1338.03,1339.49,1302.76,1306.92,68568
20140715,000000,1307.11,1313.67,1292.15,1293.79,66382
20140716,000000,1294.11,1303.69,1293.03,1298.98,56805
20140717,000000,1297.60,1324.68,1297.60,1318.96,73769
20140718,000000,1318.22,1324.61,1304.52,1310.80,60856
20140721,000000,1310.09,1318.36,1307.28,1312.26,38613
20140722,000000,1309.23,1315.79,1301.95,1306.17,54505
20140723,000000,1307.40,1311.21,1303.05,1304.45,44812
20140724,000000,1304.03,1305.06,1287.63,1293.45,61050
20140725,000000,1293.64,1308.53,1290.87,1307.04,49247
20140728,000000,1307.06,1309.19,1301.29,1303.87,54067
20140729,000000,1303.51,1312.14,1296.13,1299.01,51286
20140730,000000,1298.83,1303.60,1291.75,1296.02,50694
20140731,000000,1295.80,1297.25,1280.81,1282.42,60170
20140801,000000,1282.95,1297.14,1279.96,1293.72,63034
20140804,000000,1293.76,1295.37,1286.06,1288.04,43427
20140805,000000,1287.87,1293.94,1282.49,1288.59,52361
20140806,000000,1289.77,1309.54,1287.58,1305.64,60006
20140807,000000,1305.51,1314.43,1301.93,1312.37,59451
20140808,000000,1312.59,1322.65,1305.63,1309.40,70408
20140811,000000,1308.77,1311.42,1305.12,1308.21,44811
20140812,000000,1306.89,1317.79,1305.64,1309.21,47649
20140813,000000,1307.66,1314.95,1304.87,1312.63,50265
20140814,000000,1310.49,1319.35,1308.73,1313.27,52062
20140815,000000,1312.15,1315.12,1292.45,1304.65,60915
20140818,000000,1302.78,1303.62,1295.59,1298.10,44267
20140819,000000,1297.46,1302.29,1293.81,1295.56,41785
20140820,000000,1295.95,1297.91,1287.80,1291.65,49712
20140821,000000,1290.79,1291.07,1272.88,1276.49,53231
20140822,000000,1277.77,1282.87,1274.11,1280.99,46161
20140825,000000,1277.95,1280.82,1274.42,1276.63,34528
20140826,000000,1275.15,1290.89,1275.15,1280.90,51882
20140827,000000,1281.08,1287.31,1280.10,1282.41,40567
20140828,000000,1282.46,1296.47,1282.19,1289.39,56456
20140829,000000,1289.15,1291.31,1283.35,1287.15,37101
20140901,000000,1287.21,1289.83,1284.75,1286.93,20253
20140902,000000,1287.23,1287.46,1262.39,1265.19,52015
20140903,000000,1266.02,1271.49,1261.22,1269.16,50046
20140904,000000,1269.14,1277.19,1260.52,1261.46,60347
20140905,000000,1261.03,1273.70,1257.21,1268.54,55193
20140908,000000,1268.55,1271.73,1251.42,1255.24,53705
20140909,000000,1256.20,1258.09,1247.49,1255.26,63413
20140910,000000,1255.32,1257.72,1243.74,1249.58,63090
20140911,000000,1248.81,1250.05,1234.95,1240.61,64703
20140912,000000,1240.14,1241.51,1227.53,1229.46,61506
20140915,000000,1227.56,1238.45,1225.53,1233.10,47534
20140916,000000,1232.34,1241.95,1231.72,1235.45,59662
20140917,000000,1234.53,1239.17,1221.37,1223.33,60981
20140918,000000,1222.46,1227.91,1215.75,1225.03,68920
20140919,000000,1224.54,1228.55,1213.74,1215.44,74684
20140922,000000,1215.33,1220.38,1208.13,1214.87,60422
20140923,000000,1214.16,1234.73,1214.16,1223.14,66627
20140924,000000,1222.70,1226.02,1215.67,1216.80,57424
20140925,000000,1216.45,1224.43,1206.84,1221.39,68569
20140926,000000,1221.43,1231.26,1212.30,1218.10,60903
20140929,000000,1218.66,1223.27,1214.86,1215.65,60304
20140930,000000,1215.59,1220.06,1204.43,1208.06,66911
20141001,000000,1208.37,1219.33,1204.57,1213.73,69828
20141002,000000,1213.44,1222.27,1208.64,1214.35,74502
20141003,000000,1213.70,1215.20,1189.98,1190.91,58587
20141006,000000,1191.48,1208.95,1182.90,1207.04,57629
20141007,000000,1207.33,1213.42,1202.89,1208.77,54728
20141008,000000,1209.26,1224.09,1204.90,1220.92,67892
20141009,000000,1219.41,1233.34,1218.99,1224.10,66550
20141010,000000,1223.48,1225.45,1217.34,1222.95,64156
20141013,000000,1225.57,1237.71,1223.00,1235.60,54512
20141014,000000,1236.90,1238.14,1230.95,1232.67,69238
20141015,000000,1231.90,1249.62,1221.79,1241.88,94087
20141016,000000,1241.73,1245.16,1235.41,1238.62,98648
20141017,000000,1238.12,1241.67,1231.65,1237.96,68289
20141020,000000,1239.00,1248.64,1234.55,1246.78,58767
20141021,000000,1246.19,1255.16,1245.26,1248.39,67342
20141022,000000,1247.74,1249.68,1240.41,1241.06,52302
20141023,000000,1241.67,1244.57,1226.30,1231.68,58553
20141024,000000,1233.10,1234.27,1228.75,1230.81,51078
20141027,000000,1230.08,1231.93,1225.38,1226.21,46838
20141028,000000,1225.68,1235.52,1222.49,1228.34,60163
20141029,000000,1227.93,1230.52,1208.26,1211.89,51561
20141030,000000,1211.69,1216.58,1195.91,1198.46,75234
20141031,000000,1199.39,1202.66,1161.13,1172.60,89937
20141103,000000,1170.80,1173.76,1161.54,1165.35,54851
20141104,000000,1164.80,1174.83,1163.86,1168.16,60685
20141105,000000,1167.56,1169.66,1137.70,1140.09,84893
20141106,000000,1141.07,1149.52,1138.05,1141.58,70948
20141107,000000,1141.44,1178.66,1131.42,1177.85,89374
20141110,000000,1177.49,1177.53,1147.29,1151.17,65553
20141111,000000,1151.90,1173.22,1146.07,1163.91,77465
20141112,000000,1164.62,1170.10,1157.25,1162.30,70995
